"border","range","column","plot","Block","Accession","Source","Mother","Father","Kernel.Count","type"
NA,"04","18","0416","4","NAM #5","#0005677","Oh7B","@","40k",NA
NA,"04","19","0417","4","NAM #5","#0005677","Oh7B","@","40k",NA
NA,"04","20","0418","4","NAM #5","#0005677","Oh7B","@","40k",NA
NA,"04","21","0419","4","NAM #8","#0012182","CML228","@","40k",NA
NA,"04","22","0420","4","NAM #8","#0012182","CML228","@","40k",NA
NA,"04","23","0421","4","NAM #8","#0012182","CML228","@","40k",NA
NA,"04","24","0422","4","NAM #3","#0033685","Mo17","@","40k",NA
NA,"04","25","0423","4","NAM #3","#0033685","Mo17","@","40k",NA
NA,"04","26","0424","4","NAM #3","#0033685","Mo17","@","40k",NA
NA,"05","01","0501","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","02","0502","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","03","0503","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","04","0504","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","05","0505","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","06","0506","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","07","0507","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","08","0508","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","09","0509","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","10","0510","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","11","0511","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","12","0512","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"05","15","0513","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","16","0514","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","17","0515","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","18","0516","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","19","0517","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","20","0518","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","21","0519","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","22","0520","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","23","0521","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","24","0522","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","25","0523","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"05","26","0524","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"06","01","0601","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"06","02","0602","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"06","03","0603","1","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"06","04","0604","1","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"06","05","0605","1","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"06","06","0606","1","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"06","07","0607","2","B73 x H99","#0034857","B73","H99","40k",NA
NA,"06","08","0608","2","B73 x H99","#0034857","B73","H99","40k",NA
NA,"06","09","0609","2","B73 x H99","#0034857","B73","H99","40k",NA
NA,"06","10","0610","2","B73 x H99","#0034857","B73","H99","40k",NA
NA,"06","11","0611","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"06","12","0612","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"06","15","0613","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"06","16","0614","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"06","17","0615","1","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"06","18","0616","1","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"06","19","0617","1","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"06","20","0618","1","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"06","21","0619","4","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"06","22","0620","4","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"06","23","0621","4","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"06","24","0622","4","B37 x Mo17 pip1;5","","CMI23FGH-068.29","CMI23FGH-070.09","40k",NA
NA,"06","25","0623","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"06","26","0624","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"07","01","0701","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"07","02","0702","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"07","03","0703","1","P1197","","P1197","P1197","40K",NA
NA,"07","04","0704","1","P1197","","P1197","P1197","40K",NA
NA,"07","05","0705","1","P1197","","P1197","P1197","40K",NA
NA,"07","06","0706","1","P1197","","P1197","P1197","40K",NA
NA,"07","07","0707","2","P1151","","P1151","P1151","40k",NA
NA,"07","08","0708","2","P1151","","P1151","P1151","40k",NA
NA,"07","09","0709","2","P1151","","P1151","P1151","40k",NA
NA,"07","10","0710","2","P1151","","P1151","P1151","40k",NA
NA,"07","11","0711","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"07","12","0712","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"07","15","0713","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"07","16","0714","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"07","17","0715","1","B37 x Oh43 WT","","CMI23FGH-065.31","CMI23FGH-066.10","40k",NA
NA,"07","18","0716","1","B37 x Oh43 WT","","CMI23FGH-065.31","CMI23FGH-066.10","40k",NA
NA,"07","19","0717","1","B37 x Oh43 WT","","CMI23FGH-065.31","CMI23FGH-066.10","40k",NA
NA,"07","20","0718","1","B37 x Oh43 WT","","CMI23FGH-066.16","CMI23FGH-065.16","40k",NA
NA,"07","21","0719","4","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"07","22","0720","4","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"07","23","0721","4","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
