border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,5,9,509,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,5,10,510,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,5,11,511,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,5,12,512,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,5,13,513,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,14,514,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,15,515,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,16,516,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,17,517,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,18,518,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,19,519,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,20,520,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,21,521,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,22,522,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,23,523,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,5,24,524,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,6,1,601,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,6,2,602,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,6,3,603,1,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,6,4,604,1,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,6,5,605,1,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,6,6,606,1,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,6,7,607,2,B73 x H99,#0034857,B73,H99,40k
,6,8,608,2,B73 x H99,#0034857,B73,H99,40k
,6,9,609,2,B73 x H99,#0034857,B73,H99,40k
,6,10,610,2,B73 x H99,#0034857,B73,H99,40k
,6,11,611,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,6,12,612,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,6,13,613,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,6,14,614,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,6,15,615,1,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,6,16,616,1,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,6,17,617,1,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,6,18,618,1,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,6,19,619,4,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,6,20,620,4,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,6,21,621,4,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,6,22,622,4,B37 x Mo17 pip1;5,,CMI23FGH-068.29,CMI23FGH-070.09,40k
,6,23,623,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,6,24,624,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,7,1,701,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,7,2,702,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,7,3,703,1,P1197,,P1197,P1197,40K
,7,4,704,1,P1197,,P1197,P1197,40K
,7,5,705,1,P1197,,P1197,P1197,40K
,7,6,706,1,P1197,,P1197,P1197,40K
,7,7,707,2,P1151,,P1151,P1151,40k
,7,8,708,2,P1151,,P1151,P1151,40k
,7,9,709,2,P1151,,P1151,P1151,40k
,7,10,710,2,P1151,,P1151,P1151,40k
,7,11,711,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,7,12,712,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,7,13,713,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,7,14,714,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,7,15,715,1,B37 x Oh43 WT,,CMI23FGH-065.31,CMI23FGH-066.10,40k
,7,16,716,1,B37 x Oh43 WT,,CMI23FGH-065.31,CMI23FGH-066.10,40k
,7,17,717,1,B37 x Oh43 WT,,CMI23FGH-065.31,CMI23FGH-066.10,40k
,7,18,718,1,B37 x Oh43 WT,,CMI23FGH-066.16,CMI23FGH-065.16,40k
,7,19,719,4,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,7,20,720,4,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,7,21,721,4,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,7,22,722,4,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
