border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,16,9,1609,6,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,10,1610,6,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,11,1611,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,12,1612,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,13,1613,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,14,1614,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,15,1615,3,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,16,16,1616,3,B37 x Mo17 WT,,CMI23FGH-065.02,CMI23FGH-067.03,40k
,16,17,1617,3,B37 x Mo17 WT,,CMI23FGH-065.02,CMI23FGH-067.03,40k
,16,18,1618,3,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,16,19,1619,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,20,1620,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,21,1621,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,22,1622,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,23,1623,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,24,1624,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,1,1701,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,2,1702,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,3,1703,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,4,1704,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,5,1705,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,6,1706,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,7,1707,6,P1151,,P1151,P1151,40k
,17,8,1708,6,P1151,,P1151,P1151,40k
,17,9,1709,6,P1151,,P1151,P1151,40k
,17,10,1710,6,P1151,,P1151,P1151,40k
,17,11,1711,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,12,1712,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,13,1713,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,14,1714,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,15,1715,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,16,1716,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,17,1717,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,18,1718,3,B37 x Mo17 pip1;5,68.25 x 70.14 & 68.29 x70.9,CMI23FGH-068.25 & CMI23FGH-068.29,CMI23FGH-070.14 & CMI23FGH-070.09,40k
,17,19,1719,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,20,1720,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,21,1721,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,22,1722,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,23,1723,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,24,1724,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,1,1801,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,2,1802,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,3,1803,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,4,1804,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,5,1805,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,6,1806,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,7,1807,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,8,1808,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,9,1809,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,10,1810,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,11,1811,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,12,1812,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,13,1813,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,14,1814,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,15,1815,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,16,1816,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,17,1817,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,18,1818,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,19,1819,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,20,1820,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,21,1821,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,22,1822,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,23,1823,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,24,1824,BORDER,BORDER,,DCK111-33,DCK111-33,40k
